label,strategy,k,TAR,JFI (tasks),Gini (tasks),JFI (earnings),JFI rate,P10 tasks,P25 tasks,Avg Wait (m),P95 Wait (m),Avg Pickup (km),Completed,Total,elapsed_s
k-NLF k=3,knlf,3,0.8624559024881924,0.5905398079578953,0.4540459770510185,0.6340623918620306,0.8939916845566456,0.0,2.0,4.784134621083653,18.84356096824011,2.356227447224502,193379,224219,70.47791171073914
k-NLF k=5,knlf,5,0.8625629406963727,0.5984871824409703,0.44993117750746275,0.6446219852381867,0.881790266039838,0.0,2.0,4.253944794239301,17.686789133151354,2.0914796090587258,193403,224219,74.43409609794617
k-NLF k=10,knlf,10,0.8626253796511446,0.6253328799017687,0.43015829369069675,0.6596336875273648,0.8828772520992418,0.0,2.0,3.6451827038973903,15.482440710862477,1.7882144666465196,193417,224219,88.9251708984375
k-NLF k=15,knlf,15,0.8626387594271672,0.6433387695478635,0.41682083124499625,0.6692489528946345,0.8865730047012147,0.0,2.0,3.4683496169392414,14.29677969435845,1.700736757711745,193420,224219,50.71030807495117
