k,fairness_weight,starvation_weight,utility_weight,gamma,soft_threshold,TAR,JFI (tasks),JFI (earnings),JFI rate,Avg Wait (m),P95 Wait (m),Avg Pickup (km),Completed,Total,elapsed_s
5,1.0,0.2,1.0,0.1,0.05,0.8627101182326208,0.5728158699960029,0.6252737614296542,0.8692084024022392,4.042622753178304,17.314055280884105,1.9728277279707276,193436,224219,120.82358407974243
10,1.0,0.2,1.0,0.1,0.05,0.8627413377100067,0.5760334438634976,0.6236799266382305,0.8605940378814642,3.5164240801541795,15.060581134160358,1.7065806650002868,193443,224219,118.43841671943665
15,1.0,0.2,1.0,0.1,0.05,0.8628305362168237,0.584178078488262,0.6223420942037877,0.8675235740101633,3.3171517619350306,13.647707866032897,1.6066727929754636,193463,224219,93.76763200759888
20,1.0,0.2,1.0,0.1,0.05,0.8628349961421646,0.5925247842950471,0.625856927375126,0.8690181798418435,3.287891110848141,12.991934777498246,1.5932554708616051,193464,224219,104.06326723098755
30,1.0,0.2,1.0,0.1,0.05,0.8628662156195506,0.6010844265930214,0.6221001523911694,0.8788282290279628,3.238855126373031,12.015468764305115,1.5673501324756087,193471,224219,95.5414719581604
