_dataset,_label,TAR,Rev. (k$),JFI (tasks),JFI (earnings),JFI rate,P10 tasks,CV (idle),CV (earn),Wait (m),P95 Wait (m),Avg Pickup (km),Backlog,elapsed_s
Gowalla,Greedy,0.9985384123504156,297.61431132728137,0.5736244695091517,0.6099857792655796,0.9828728020095913,1.0,0.8297093091293472,0.8172819506951552,2.85874908180407,6.929566822648048,1.3519460025228174,33,105.06323409080505
Gowalla,k-NLF (k=15),0.9981045035169452,297.4942081400153,0.6716850112872114,0.692254062517384,0.9950902032427494,2.0,0.8080294635542787,0.6720742666389461,5.17834368978272,21.94229484399159,2.4820211699418318,49,5.790090084075928
Gowalla,Composite sw=0.0 (no starv),0.9979903169818215,297.48170191843553,0.6080243957947128,0.6524393056669084,0.9634619776204613,1.0,0.8402938092633769,0.7686583158950885,5.078934382041296,21.88183152794838,2.4417578110911116,0,22.621483087539673
Gowalla,Composite sw=0.5 (current),0.9982643646661186,297.5453730531775,0.60913290116636,0.6505984005457284,0.9646037908198218,1.0,0.8385166069048889,0.7703561167285523,5.559781577828099,22.975410963495566,2.634556062559973,0,21.27609920501709
Didi,Greedy,0.862527261293646,2765.534727295127,0.5951676762911542,0.6127077788577472,0.8626049620913612,0.0,2.0823941098560983,0.9444887020431763,2.630972273033691,10.135971725781754,1.2825443753206998,145,389.57465386390686
Didi,k-NLF (k=15),0.862611999875122,2765.6653995998304,0.6446242789694607,0.6684123688639817,0.8889371993804179,0.0,1.4787677132944845,0.8264389039933681,3.4809305984675456,14.247915470600143,1.7072390947697542,124,42.76258611679077
Didi,Composite sw=0.0 (no starv),0.8626298395764855,2765.7048728652003,0.586804801373824,0.6250333162211326,0.8643169651349222,0.0,1.6354513456089192,0.922536753433554,3.2362759906816123,13.091906277736028,1.5833704366126433,0,113.71525692939758
Didi,Composite sw=0.5 (current),0.8626565991285305,2767.485975504414,0.5876601759447375,0.624287590835447,0.866273540041849,0.0,1.6287231035388707,0.9214658757739902,3.3347953746740213,13.78993044873079,1.6075287101336673,0,100.24038600921631
