_dataset,_label,TAR,Rev. (k$),JFI (tasks),JFI (earnings),JFI rate,P10 tasks,JFI (idle),Gini (idle),CV (idle),CV (earn),Wait (m),P95 Wait (m),Avg Pickup (km),Backlog,elapsed_s
Gowalla,Greedy,0.9984927377363662,297.60689433224144,0.571894838821846,0.6074958970515998,0.9828728020095913,1.0,0.5917047564756507,0.46429975610239227,0.8306816752749091,0.82145361685201,2.871444109804888,6.968875643412272,1.3580729795890767,36,101.74427223205566
Gowalla,k-NLF (k=15),0.9981730154380195,297.51369228252287,0.672960633052778,0.6946879036203215,0.9952043845626856,2.0,0.6044137751840238,0.4527065089240081,0.8090090933556757,0.6681555739397467,5.2710405055406575,22.178826572696373,2.5259306260528067,48,5.462877035140991
Gowalla,Composite sw=0.0 (no starv),0.998035991595871,297.47251171347386,0.6048082832360082,0.6457693039713597,0.9644896094998858,1.0,0.5835459095419915,0.46991983668142456,0.8447847229339783,0.7781738169884915,5.085212430420717,21.728349807461065,2.4451278124878177,0,21.750993013381958
Gowalla,Composite sw=0.5 (current),0.9982415273590938,297.544315722957,0.6021964325598447,0.645301987422955,0.9634619776204613,1.0,0.5845757817816606,0.4688624367800196,0.8429959653412735,0.7800198294875031,5.558156981637233,23.082379508018494,2.632391942825381,0,22.700350046157837
Didi,Greedy,0.8625361811443276,2765.548595031301,0.5950071834693802,0.6126188291721024,0.863963694665616,0.0,0.18863828096670485,0.8129200426193788,2.073921632445719,0.9430575830088959,2.6177030150157012,10.089250181516004,1.2753815726181494,144,383.4821991920471
Didi,k-NLF (k=15),0.862643219352508,2765.8093839218873,0.6460996911965076,0.6658596330383053,0.8916546645289274,0.0,0.31178650406672664,0.7135137316689664,1.4857062017598501,0.8272270366512121,3.438257878620486,14.19509598016739,1.684944845626792,117,41.11094617843628
Didi,Composite sw=0.0 (no starv),0.8626476792778489,2765.68639262198,0.5889238598185811,0.6227562182273219,0.8692899263566944,0.0,0.3526555986126561,0.6750485435088602,1.3548534036601065,0.9204424444377212,3.201527617745319,12.898966623544679,1.5635464778064387,0,102.81896710395813
Didi,Composite sw=0.5 (current),0.8626967384565982,2767.698086500017,0.5867742101639911,0.6265192349318895,0.8642082665289818,0.0,0.27356615032601544,0.7390211246497598,1.62954687186091,0.9202804641892218,3.313995971941406,13.588504601319627,1.5981264827649027,0,102.78438782691956
