dataset,review_period_s,TAR,JFI (tasks),JFI (earnings),Avg Wait (m),P95 Wait (m),Avg Pickup (km),Peak Backlog,Completed,Total,elapsed_s
Gowalla,5,0.9983785512012423,0.5729214092017242,0.5996282322582953,2.6823294453329654,7.036980345249173,1.2392596666660114,0,43717,43788,326.63445687294006
Gowalla,10,0.9983785512012423,0.5749865185305079,0.6015174906085761,2.692895251332511,7.025039803981779,1.2218380153715027,0,43717,43788,328.3426079750061
